"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"25116","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","CandidatusNitrososphaeragargensis"
"71074","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"100679","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"540349","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1145"
"1140","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"101071","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"1143","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"141739","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera","SCA1170"
"1141","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"237125","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"1144","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"512943","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"235345","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"141417","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","CandidatusNitrososphaera",NA
"142115","Archaea","Crenarchaeota",NA,NA,NA,NA,NA
"239672","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"462844","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"540290","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"523571","Archaea","Crenarchaeota","C2","B10",NA,NA,NA
"105679","Archaea","Crenarchaeota","C2",NA,NA,NA,NA
"515962","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"525569","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"238793","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"538819","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"515691","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"525464","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"529521","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"455926","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"246371","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"282132","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"254458","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"245697","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"45742","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"441638","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"251993","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"462098","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"570593","Archaea","Crenarchaeota","C2","pGrfC26",NA,NA,NA
"104332","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"137608","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"200619","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"568129","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"528115","Archaea","Crenarchaeota","pMC2A209",NA,NA,NA,NA
"152431","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta","Methanosaetathermophila"
"236606","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"525","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosaetaceae","Methanosaeta",NA
"52710","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"55681","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcinaacetivorans"
"206978","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcinamazei"
"37119","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"349670","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"240012","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"248224","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,"CandidatusMethanoregula",NA
"236619","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales",NA,NA,NA
"212360","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum","Methanocorpusculumlabreanum"
"146124","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupIII",NA,NA
"62881","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"329648","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"547371","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"140729","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"347836","Archaea","Euryarchaeota","Thermoplasmata","E2","WCHD3-02",NA,NA
"319002","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"219191","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"410763","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"412056","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"550661","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"550655","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"526","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"379145","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"245798","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"254858","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"407348","Archaea","Euryarchaeota","Thermoplasmata","E2","pMC2A33",NA,NA
"250392","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"308755","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"255494","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"146866","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"155847","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"715","Archaea","Euryarchaeota","Thermoplasmata","E2","MarinegroupII",NA,NA
"140297","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","MSBL1","SAGMEG-1",NA
"105600","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"40123","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"79","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacteriumbryantii"
"18599","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"77878","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"101553","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacteriumbeijingense"
"134","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"551498","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"99797","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA
"227785","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibactersmithii"
"228569","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"246686","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"166443","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA
"368907","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacteriumacnes"
"93749","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacteriumacidipropionici"
"167566","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Propionicimonas",NA
"12751","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Propionicimonas",NA
"560734","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"315847","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae",NA,NA
"165629","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA
"243161","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"525323","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"157893","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"172332","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"179479","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium",NA
"145776","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium",NA
"263308","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"341901","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"237339","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"216616","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"549341","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"132361","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"377237","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"101707","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"552729","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"34725","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"205152","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"586825","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"255802","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"98983","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"101669","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"204284","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"501795","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"207298","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"516593","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"154684","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"243943","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"101852","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"325277","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"563475","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Pimelobacter",NA
"151383","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"16538","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"154113","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"236362","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"559914","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"244158","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"137567","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioideslentus"
"517399","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"12776","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"257075","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"251908","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"513390","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"99516","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioidesalkalitolerans"
"45520","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"12789","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioidesalbus"
"576124","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"574022","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides",NA
"255749","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioidesoleivorans"
"217144","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"414150","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"531515","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"365828","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"197085","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"549557","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"213587","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"12787","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"114316","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"137878","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"157872","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"208818","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"239739","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"218299","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA
"158804","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Marmoricola",NA
"32247","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Marmoricola",NA
"305897","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Kribbella","Kribbellaaluminosa"
"248838","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Kribbella",NA
"45777","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Actinopolymorpha",NA
"591315","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"248170","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"584943","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"566820","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"275402","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"134809","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"587114","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"203278","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"552440","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"350544","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"356778","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"354609","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"210359","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"575324","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"271885","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"67031","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"517129","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"103163","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"12812","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"335721","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"241082","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"349592","Bacteria","Actinobacteria","Actinobacteria","koll13",NA,NA,NA
"566562","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"102750","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"564553","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"510433","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"569556","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"94227","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"251247","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"161544","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"255515","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"562332","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"94128","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"225849","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"562817","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"585514","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"328654","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"512499","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"160075","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"222905","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"210507","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"219366","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"511430","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"543676","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"215846","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"329012","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"145898","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"540668","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Microthrixaceae",NA,NA
"588313","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","ZA3409c",NA,NA
"236439","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","ZA3409c",NA,NA
"155882","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","ZA3409c",NA,NA
"145979","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","TK06",NA,NA
"229799","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","ZA3612c",NA,NA
"348047","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","ntu14",NA,NA
"270309","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","JdFBGBact",NA,NA
"554148","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","SC3-41",NA,NA
"272708","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","wb1_P06",NA,NA
"156409","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","wb1_P06",NA,NA
"330721","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","wb1_P06",NA,NA
"313417","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","wb1_P06",NA,NA
"228452","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","wb1_P06",NA,NA
"410072","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"553502","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","AKIW874",NA,NA
"243453","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","AKIW874",NA,NA
"240178","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","AKIW874",NA,NA
"542020","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","AKIW874",NA,NA
"534888","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","AKIW874",NA,NA
"237548","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"582749","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"578659","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"250987","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"336584","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"56545","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"24260","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"518645","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"317641","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"174445","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"222364","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"223441","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"207124","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"215003","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"256166","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales",NA,NA,NA
"318902","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"512041","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"216128","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"217034","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"112066","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"128216","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"65457","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"153998","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
"517156","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae",NA,NA
