"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"368907",0,0,0,0,0,254,292,20,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93749",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167566",7,54,4,0,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12751",8,298,4,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"560734",0,1,3,0,0,0,1,0,0,0,20,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"315847",2,16,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165629",0,8,48,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
"243161",1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"525323",0,19,27,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157893",4,32,17,0,0,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"172332",0,19,19,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179479",2,19,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145776",14,290,187,0,0,28,32,24,0,0,0,2,0,2,0,0,0,0,0,2,1,0,1,0,0,0
"263308",33,85,226,0,0,12,62,29,0,0,0,0,0,1,0,0,0,0,0,6,4,0,0,0,0,0
"341901",4,33,217,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"237339",46,308,227,0,0,1,18,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"216616",0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"549341",0,9,115,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132361",7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377237",20,43,32,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"101707",1,7,7,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"552729",4,30,25,0,0,6,45,24,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"34725",0,25,11,0,0,5,12,3,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0
"205152",3,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586825",69,146,432,0,0,31,41,17,0,1,0,1,25,42,30,0,2,0,0,4,1,0,0,1,0,1
"255802",12,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98983",2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"101669",26,417,3,1,0,6,27,2,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
"204284",60,201,39,0,0,10,71,22,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"501795",0,3,77,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"207298",17,33,513,0,0,2,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"516593",5,24,127,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154684",17,29,185,0,0,1,18,6,0,0,0,0,5,0,3,0,6,0,0,1,0,0,0,0,1,1
"243943",19,81,65,0,0,10,19,16,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0
"101852",15,23,12,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"325277",1,39,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563475",13,122,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"151383",8,30,218,0,0,18,11,21,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,1
"16538",3,10,29,0,0,14,8,2,0,0,1,0,16,26,11,0,0,0,0,0,0,0,0,0,0,0
"154113",6,12,82,0,0,12,67,23,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"236362",6,15,124,0,0,2,23,5,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0
"559914",11,62,96,1,0,4,41,0,0,0,0,1,0,0,0,0,85,0,0,1,0,0,0,0,0,0
"244158",3,3,10,0,0,2,1,1,0,0,0,0,2,9,11,0,0,0,2,7,0,0,0,0,0,0
"137567",0,18,77,0,0,8,2,0,0,0,0,0,4,0,0,0,1,0,1,4,1,0,0,0,0,0
"517399",2,0,1,0,0,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12776",5,80,2,0,0,0,12,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"257075",3,17,39,0,0,2,11,2,1,0,0,0,1,6,10,0,5,0,0,1,0,0,0,1,1,0
"251908",1,4,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"513390",9,174,14,0,0,17,41,9,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,2,1
"99516",5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45520",20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12789",21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"576124",3,37,23,0,0,1,6,4,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1
"574022",0,2,1,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255749",2,7,38,0,0,6,32,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"217144",1,31,46,0,0,14,47,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"414150",1,41,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"531515",15,76,109,0,0,12,64,19,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0
"365828",35,162,239,0,0,26,104,48,0,0,0,0,20,11,7,0,14,0,1,6,3,0,0,0,1,2
"197085",35,49,62,0,0,2,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"549557",0,24,20,0,0,1,11,9,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"213587",53,132,219,0,0,8,43,8,0,0,0,0,1,7,0,0,0,0,0,2,2,0,0,1,1,0
"12787",0,3,14,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"114316",0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137878",6,52,82,0,1,31,111,95,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"157872",3,55,24,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0
"208818",9,154,42,0,0,6,80,39,0,1,0,5,0,1,0,0,0,0,0,2,0,0,0,0,1,1
"239739",6,9,132,0,0,3,35,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"218299",0,2,25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158804",9,84,28,0,0,8,47,8,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1
"32247",7,144,3,0,0,9,41,8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"305897",24,39,726,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5
"248838",14,21,957,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"45777",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"591315",7,21,60,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"248170",19,198,528,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,2,0
"584943",1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,27,5,0,0,0,0,0
"275402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,13,0,0,0,0,0
"134809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,21,8,0,0,0,0,0
"587114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0
"203278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0
"552440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,14,0,0,0,0,0
"350544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,1,0,0,0,0,0
"356778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0
"354609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0
"210359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,28,0,0,0,0,0
"575324",0,0,0,0,0,0,0,0,0,0,0,0,2,33,22,1,1,0,0,2,4,0,0,0,0,0
"271885",0,0,0,0,0,0,0,0,0,1,0,1,7,82,91,0,0,0,0,0,0,0,0,0,0,0
"67031",0,0,0,0,0,0,0,0,0,0,0,0,33,269,292,2,0,0,0,1,0,0,0,1,0,0
"517129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,6,0,0,0,0,0
"103163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,0,0,0,0,0,0,0
"12812",6,14,9,7,13,7,12,12,1888,115,38,23,302,632,94,15527,15682,161687,297,36,17,28,14,44,15,31
"335721",1,0,0,0,0,1,0,0,1,0,0,0,0,9,0,202,1,63,0,0,0,0,0,0,1,0
"241082",0,1,0,0,1,0,0,0,2,0,1,0,3,30,9,898,0,215,0,3,0,0,0,1,0,1
"349592",1,0,1,0,0,1,1,1,24,2,0,4,6,49,11,1739,41,2906,8,2,0,1,1,5,0,0
"566562",50,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102750",48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564553",3,2,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510433",93,174,680,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"569556",17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94227",0,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"251247",0,0,0,0,0,0,0,0,0,0,0,0,25,22,13,1,0,0,0,0,0,0,0,0,0,0
"161544",7,31,6,0,0,0,0,0,0,0,0,0,9,8,12,0,0,0,0,0,0,0,0,0,1,0
"255515",10,84,110,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"562332",66,20,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"94128",16,31,276,0,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"225849",58,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"562817",0,8,199,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"585514",0,5,137,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1
"328654",5,6,26,0,0,0,2,0,0,0,0,0,3,5,6,0,0,1,1,0,0,0,0,0,0,0
"512499",4,16,9,0,0,0,0,0,0,0,0,0,41,50,44,0,0,0,0,0,0,1,0,1,1,0
"160075",5,11,1,0,0,0,0,1,0,0,0,0,36,56,67,0,0,0,0,0,0,0,0,0,0,0
"222905",0,19,0,0,0,1,0,0,0,0,0,0,13,23,17,0,0,0,0,0,0,1,0,0,0,0
"210507",1,2,2,0,0,0,0,0,0,0,0,1,25,27,12,0,0,0,3,1,0,0,0,1,0,0
"219366",0,29,7,0,0,0,1,0,0,0,4,0,1,5,7,1,0,0,2,0,0,0,0,0,0,0
"511430",0,0,0,0,0,0,0,0,1,0,0,0,27,11,6,0,0,0,0,0,0,0,0,0,0,0
"543676",20,92,0,0,0,0,0,0,0,0,0,0,104,71,51,0,0,0,0,0,0,0,0,0,2,0
"215846",2,7,2,0,0,0,0,0,1,0,1,50,290,414,498,1,0,0,0,0,1,0,0,1,0,0
"329012",0,3,5,0,0,0,5,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0
"145898",0,0,2,0,0,0,2,0,0,0,0,8,85,72,18,0,1,1,0,0,0,0,0,0,0,0
"540668",0,0,0,0,0,0,0,0,0,0,0,0,8,7,18,0,4,0,5,21,28,0,0,0,0,0
"588313",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0
"236439",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"155882",0,0,3,0,0,0,0,0,0,0,0,0,5,13,2,0,0,0,0,0,0,0,0,0,0,0
"145979",4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,80,0,3,3,0,0,0,0,0
"229799",0,1,0,0,0,0,0,0,6,0,0,0,4,9,4,8,9,701,0,0,0,0,0,0,0,0
"348047",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0
